irn,DarGlobalUniqueIdentifier,DarInstitutionCode,DarCatalogNumber,DarRelatedInformation,DarImageURL,DarKingdom,DarPhylum,DarFamily,DarScientificName,DarCollector,CollectionTeam,CollectionNumberPrefix,CollectionNumber,CollectionNumberSuffix,CollectionNumberText,ColDateVisitedFrom,ColDateVisitedTo,ColVerbatimDate,DarCollectionNotes,DarContinent,DarCountry,DarStateProvince,DarCounty,DarLocality,Township_tab,Range_tab,Section_tab,DarMinimumElevationMeters,DarMaximumElevationMeters,MinimumElevationFeet,MaximumElevationFeet,DarLatitudeDecimal,DarLongitudeDecimal,LatitudeDMS,LongitudeDMS,DarGeodeticDatum,DarGeorefMethod,DarCoordinateUncertaintyInMeter,ColLocationNotes,FeaCultivated? (Y/N),FeaPlantFungDescription,FeaFrequency,HabHabitat,HabVegetation,HabSubstrate,SpeOtherSpecimenNumbers_tab,OcrText
5037913,e664ce82-2ecf-4084-bc3e-87df955f81eb,NY,4285750,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=5037913,http://sweetgum.nybg.org/images3/4220/762/04285750.jpg,Fungi,Ascomycota,Acarosporaceae,Acarospora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"PLANTS OF CHILE
Acarospora
NEW YORK BOTANICAL GARDEN
04285750
Along the road from Illapel
to Coquimbo, Coquimbo Prov.,
Chile.
G. T. Johnson No.
October 20k- 24, 1941.
Locality:
Collector:
BOTANICAL
®ARDÉ*l
04285750"
5023682,c2d9ca94-24db-4a08-8a46-5b8e98cfec80,NY,4285746,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=5023682,http://sweetgum.nybg.org/images3/4210/538/04285746-01.jpg | http://sweetgum.nybg.org/images3/4210/539/04285746-02.jpg,Fungi,Ascomycota,Acarosporaceae,Acarospora obpallens (Nyl. ex Hasse) Zahlbr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"THE NEW YORK BOTANICAL GARDEN
CRYPTOGAMS OF ECUADOR
Acarospora
Prov. Cotopaxi:. Parque Nacional Cotopaxi,
along road from Pampa de Limpios to summit
of Cotopaxi, 00°38TS, 78°26fW; 4100 m;
grass páramo with scattered shrubs.
17 December 1983
Acarospora
COTOPAXI: Parque Nacional Cotopaxi,
along road from Pampa de Limpios to
summit of Cotopaxi. 17 Dec 1983.
THE NEW YORK BOTANICAL CARDEN
LICHENS OF ECUADOR
R. C. Harris 17425
<^> IMAGED
04285746
R. C. Harris 17425
04285746"
4613761,33172b92-d8da-4d90-80f5-d7383eaf3b3d,NY,4510482,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4613761,http://sweetgum.nybg.org/images3/4016/990/04510482.jpg,Fungi,Ascomycota,Collemataceae,Leptogium menziesii (Sm.) Mont.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"-*iÄk
SVENSKA PACIFICEXPEDITIONEN 1916—17.
LICHENES.
(2>	""’ I	04i
JUAN FERNANDEZ: t
^ ^	%j£uL .	J2n m.s. m. ^5oJ917
DET. sJ^pJUA-r*
CARL o. INGA SKOTTSBERG.
04510482"
2255254,15a52b1b-8de9-4025-836d-da75acd45744,NY,2083961,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2255254,http://sweetgum.nybg.org/images3/2020/719/02083961.jpg,Plantae,Bryophyta,Bartramiaceae,Breutelia integrifolia (Taylor) A.Jaeger,,,,,,,,,,[Label obscured.],,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"PLANTS OF CHILE
( ? »©Tanicaj,
I
Breutelia integrifolia (Tayl.) Jaeg.
Dana Griffin, III	Nov* 1983
__ w	\H1-i
02083961"
2956511,782279d3-43f0-401c-ae3d-ef20726e98ac,NY,2642135,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2956511,http://sweetgum.nybg.org/images3/1998/000/02642135.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"Anemiaceae
Anemia
Brasil. Rio de Janeiro. Itatiaia: Parque Nacional
do Itatiaia. Trilha para os Très Picos, antes de
cruzar o rio Bela Vista. Floresta Ombrófila Densa
Montana (Mata Atlántica). 22°26,07""S 44°36,27""W.
Elev. 1200 m.
Planta terrestre, fronde ereta, as férteis com
soros verdes até amarelo dourado.
M.M. Saavedra 1058, P. Fiaschi, A. Lobâo & M.F.
Santos	13 i 2012
02642135"
3500201,47ed26cf-68c3-4b0b-8054-309d3cf0e6f9,NY,3231483,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3500201,http://sweetgum.nybg.org/images3/2601/106/03231483.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,RB (Barcode) 1232850,"Brasil, Espirito Santo, Cachoeiro de Itapemirim. Burarama, localidade de
Furquilha. 20°38,54"" S, 4102ri1"" W. Elev.: 491 m.
Erva em tapete de Selaginella. Habitat: Inselbergue.
03231483"
3946033,c3627ea5-2ad4-46f0-afef-9db0eb0c6aac,NY,3696760,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3946033,http://sweetgum.nybg.org/images3/3060/769/03696760.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"UFPR	Universidade Federal do Paraná Herbário UPCB
Anemiaceae	
Anemia	
Det.: /	
BRASIL. Bahia: Presidente Tancredo Neves. Regiäo da Serra do Timbó, topo de serra com arbustivo-herbácea sobre läge de arenito, entremeada com fragmentos de floresta39° 42' 06""W, 39° 42' 06""W.	
Obs.: Erva40 cm	
Leg.: Goldenberg R. 2311, Amorim AM., Paixäo J.L. 29/Abr/2017	
03696760"
4140866,7c5f6a60-7dbe-49f9-8916-f0f3687fc35f,NY,3861570,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4140866,http://sweetgum.nybg.org/images3/3156/527/03861570.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,RB (Barcode) 1337854,"SA.
Fe tr¡
JARDIM BOTÀNICO DO RIO DE JANEIRO
RB 735303
(pteridaceae) A 4
A
Brasil, Minas Gerais, Diamantina. Parque Estadual do Rio Preto. Campos
rupestres na localidade de lajeado, campos rupestres. 18°13'42"" S
43°20'32"" W. Elev.: 1580 m.
saxícola, heliófila; folhas verdes, discolores; esporangios de cor verde.
G.Martinelli, 19099, T.Lima, L.Moraes
19-111-2016
Proj.: Projeto Inventàrio em Áreas Prioritarias para Conservalo.
03861570
01337854
03861570"
3407110,2be5ba38-444d-4d29-96c5-56f40ffd522f,NY,3156548,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3407110,http://sweetgum.nybg.org/images3/2489/995/03156548.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia adiantifolia (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Mexico & Central America],,,,,,,,"The New York Botanical Garden
(L.) S*v,
Robbin C. Moran, 2017 (NY)
HERBARIUM OF RALPH SEILER
PLANTS OF Beufct
Aapum«.
ffciAWIfc ** 6socy '&»£.«_ irW 4>*ho
B&V.fAt>Sfc*V \ SZytf-io, ¿Mo PtST;
Of ws»‘ »r Sl-S*©
Collector: R- Snt*r	Number: ZllO	Date: Xunf	i
2*M?
03156548"
3407137,80a5ee43-d6a0-4778-aa30-9bd9d948c271,NY,3156549,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3407137,http://sweetgum.nybg.org/images3/2489/996/03156549.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia adiantifolia (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Mexico & Central America],,,,,,,,"Ck
V-cc n
The New York Botanical Garden
adi'**tt foli* (l.) Sw.
Robbin C. Moran, 2017 (NY)
HERBARIUM OF RALPH SEILER
PLANTS OF 5eute
v'r *
CAv/t> D&T*
Al^UfML VV\*-o^
03156549
Collector:
Number: ZlOfe	Date:
03156549"
4175419,91485649-cefb-492a-82c9-e12a08e1b1e8,NY,3892175,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4175419,http://sweetgum.nybg.org/images3/3281/030/03892175.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia adiantifolia (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Mexico & Central America],,,,,,,,"10°45'25""'N 85°31'05""W 80 m
Epipétrica, con luz abundante y materia orgánica
media a escasa.
NEW YORK BOTANICAL GARDEN
03892175
Alexander Rot1as 4227	3 FEB1998
& A. Soto ¿ C Cjrjr*
INSTITUTO NACIONAL DE BIODIVERSIDAD (INB)
En colaboración con el Hissouri Botanical Carden (ÍK))
03892175"
